font_family	glyph_id	unicode	character	method	occurrences_in_recovered_docs	reference_occurrences	reference_pdfs	note
times-regular	585	U+041F	П	cross-document-glyph-id	239	332	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	586	U+0420	Р	cross-document-glyph-id	52	245	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	587	U+0421	С	cross-document-glyph-id	202	280	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	588	U+0422	Т	cross-document-glyph-id	36	198	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	589	U+0423	У	cross-document-glyph-id	82	338	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	590	U+0424	Ф	cross-document-glyph-id	29	144	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	591	U+0425	Х	cross-document-glyph-id	2	3	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	593	U+0427	Ч	cross-document-glyph-id	4	7	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	598	U+042C	Ь	cross-document-glyph-id	2	3	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	599	U+042D	Э	cross-document-glyph-id	23	95	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	600	U+042E	Ю	cross-document-glyph-id	2	3	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	601	U+042F	Я	cross-document-glyph-id	2	3	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	602	U+0430	а	cross-document-glyph-id	4017	24166	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	603	U+0431	б	cross-document-glyph-id	641	4237	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	604	U+0432	в	cross-document-glyph-id	2321	13023	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	605	U+0433	г	cross-document-glyph-id	645	3453	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	606	U+0434	д	cross-document-glyph-id	1230	7589	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	607	U+0435	е	cross-document-glyph-id	4596	28370	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	608	U+0436	ж	cross-document-glyph-id	317	2100	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-regular	609	U+0437	з	cross-document-glyph-id	1349	6229	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
