control_id	index_id	locator	key	expected	file	sha256
FSTEC-LINUX-2022-2.4.3-INIT-ON-ALLOC	SRC-0018	2.4.3	init_on_alloc	1	fstec-linux-2022-2.4.3-init-on-alloc.yaml	68b4a5d37e9addc54b6c8d9316e1a9e47e4eda7cb0683b2df99c4be911c7ea5c
FSTEC-LINUX-2022-2.4.4-SLAB-NOMERGE	SRC-0019	2.4.4	slab_nomerge	True	fstec-linux-2022-2.4.4-slab-nomerge.yaml	817ddc5844c8600b30ea82b013576e8c90fe4381f37ff2d3e6f697766881aa9e
FSTEC-LINUX-2022-2.4.5-IOMMU-FORCE	SRC-0020	2.4.5	iommu	force	fstec-linux-2022-2.4.5-iommu-force.yaml	595da19602209ab601375e129f45dfa720038e5a5b92017e51b5b7873bd6233d
FSTEC-LINUX-2022-2.4.5-IOMMU-PASSTHROUGH	SRC-0020	2.4.5	iommu.passthrough	0	fstec-linux-2022-2.4.5-iommu-passthrough.yaml	85b3d67e7f741cfd9d50b3d935bc96ac38d6468d44cb18465baefa3379242942
FSTEC-LINUX-2022-2.4.5-IOMMU-STRICT	SRC-0020	2.4.5	iommu.strict	1	fstec-linux-2022-2.4.5-iommu-strict.yaml	0d68a6bb3b7869e9d76046d196e61511e34560cfb55cf130b30c65b3b9d3e629
FSTEC-LINUX-2022-2.4.6-RANDOMIZE-KSTACK-OFFSET	SRC-0021	2.4.6	randomize_kstack_offset	1	fstec-linux-2022-2.4.6-randomize-kstack-offset.yaml	876b71fa1a3eabed4455db496c576c43ec897ccfe335266ae707b9bb976f124e
FSTEC-LINUX-2022-2.4.7-MITIGATIONS	SRC-0022	2.4.7	mitigations	auto,nosmt	fstec-linux-2022-2.4.7-mitigations.yaml	2d004e6effde058bcd8d5713b8116adec36af1476da6e4f5acb1553d7857d981
FSTEC-LINUX-2022-2.4.8-BPF-JIT-HARDEN	SRC-0023	2.4.8	net.core.bpf_jit_harden	2	fstec-linux-2022-2.4.8-bpf-jit-harden.yaml	47b6b8e37bf7cc6065455bc2fe3607841eaf5c16cf1e748ac58c6a838c7d0132
FSTEC-LINUX-2022-2.5.1-VSYSCALL	SRC-0024	2.5.1	vsyscall	none	fstec-linux-2022-2.5.1-vsyscall.yaml	611d219ec1d517ebceb3539968662a6e40a75bb028fc553ec18eb9a95544f413
FSTEC-LINUX-2022-2.5.10-MMAP-MIN-ADDR	SRC-0033	2.5.10	vm.mmap_min_addr	4096	fstec-linux-2022-2.5.10-mmap-min-addr.yaml	a78e5d528693d8981244270851b0e562063b021045e56f9b58fd855c82760818
FSTEC-LINUX-2022-2.5.11-RANDOMIZE-VA-SPACE	SRC-0034	2.5.11	kernel.randomize_va_space	2	fstec-linux-2022-2.5.11-randomize-va-space.yaml	c5d4a6d65c18a1a12d68d14594f93bf6d33fc0c3e8f18b8a5333d3ad7ae9ea70
FSTEC-LINUX-2022-2.5.2-PERF-EVENT-PARANOID	SRC-0025	2.5.2	kernel.perf_event_paranoid	3	fstec-linux-2022-2.5.2-perf-event-paranoid.yaml	e7bce3ca88fe891571b2a31bac7b7e78a35e736cf4dbdc0f0de0c3278342dc6a
FSTEC-LINUX-2022-2.5.3-DEBUGFS	SRC-0026	2.5.3	debugfs	off|no-mount	fstec-linux-2022-2.5.3-debugfs.yaml	806da488a05c5d4ea11c2cef4bbde3b327387c1b96b143fe97c32e50e08a8894
FSTEC-LINUX-2022-2.5.4-KEXEC-LOAD-DISABLED	SRC-0027	2.5.4	kernel.kexec_load_disabled	1	fstec-linux-2022-2.5.4-kexec-load-disabled.yaml	6e5edb1b1a4ae8d231abfb1aa6df0695b632d4ec4c36f9da1a98307b1526f6cf
FSTEC-LINUX-2022-2.5.5-MAX-USER-NAMESPACES	SRC-0028	2.5.5	user.max_user_namespaces	0	fstec-linux-2022-2.5.5-max-user-namespaces.yaml	6eaa0334658fb48e9117a6dc17c96d66324ba94d9e7f6df4a08c6fe30ec14590
FSTEC-LINUX-2022-2.5.6-UNPRIVILEGED-BPF-DISABLED	SRC-0029	2.5.6	kernel.unprivileged_bpf_disabled	1	fstec-linux-2022-2.5.6-unprivileged-bpf-disabled.yaml	675490eca28c80f2bcaf85f3bfed38e0cd69f65a131133c5432deb9c3b34f73d
FSTEC-LINUX-2022-2.5.7-UNPRIVILEGED-USERFAULTFD	SRC-0030	2.5.7	vm.unprivileged_userfaultfd	0	fstec-linux-2022-2.5.7-unprivileged-userfaultfd.yaml	655ca09fc55ba9c256a8c465c8e4e641880da38ae5ae1b54ca3c9131ddf1a097
FSTEC-LINUX-2022-2.5.8-LDISC-AUTOLOAD	SRC-0031	2.5.8	dev.tty.ldisc_autoload	0	fstec-linux-2022-2.5.8-ldisc-autoload.yaml	ebee2def369534141260369cab0c06590a2794552840614ed1c07c82706eac30
FSTEC-LINUX-2022-2.5.9-TSX	SRC-0032	2.5.9	tsx	off	fstec-linux-2022-2.5.9-tsx.yaml	07040e8445ac0565a587fcf6cfadf124a45b6b076592d4a268eff2abe37b5ef3
FSTEC-LINUX-2022-2.6.1-PTRACE-SCOPE	SRC-0035	2.6.1	kernel.yama.ptrace_scope	3	fstec-linux-2022-2.6.1-ptrace-scope.yaml	5c929cb7994116522a03e040af9e13dea447478d632cf58e45baac64d844cda7
FSTEC-LINUX-2022-2.6.2-PROTECTED-SYMLINKS	SRC-0036	2.6.2	fs.protected_symlinks	1	fstec-linux-2022-2.6.2-protected-symlinks.yaml	9109618bf48e0d314306aa7165c39dc78e16de398f77ce534fffa464c2b850f1
FSTEC-LINUX-2022-2.6.3-PROTECTED-HARDLINKS	SRC-0037	2.6.3	fs.protected_hardlinks	1	fstec-linux-2022-2.6.3-protected-hardlinks.yaml	0e8844a89ff5c2678009b8c27d3f031a778e2a8b9753f93a8901f450e07fa80f
FSTEC-LINUX-2022-2.6.4-PROTECTED-FIFOS	SRC-0038	2.6.4	fs.protected_fifos	2	fstec-linux-2022-2.6.4-protected-fifos.yaml	5510b1f68c078e769ab1b29775eef8500f102d68982db8c13a5f444e6a7a7f03
FSTEC-LINUX-2022-2.6.5-PROTECTED-REGULAR	SRC-0039	2.6.5	fs.protected_regular	2	fstec-linux-2022-2.6.5-protected-regular.yaml	9bfd2d1c3ae0ee3c48f6405a07e21e85da430418929147834bfbf83f82fc1791
FSTEC-LINUX-2022-2.6.6-SUID-DUMPABLE	SRC-0040	2.6.6	fs.suid_dumpable	0	fstec-linux-2022-2.6.6-suid-dumpable.yaml	cee0ebd9587fda4e329e2759b697db93a8eff99cfe287207831670b86ed63350
