control_id	index_id	locator	key	expected	file	sha256
FSTEC-CONFIGURATION-2026-9.1-SSH-PASSWORD-AUTHENTICATION	SRC-0088	9.1	PasswordAuthentication	no	fstec-configuration-2026-9.1-ssh-password-authentication.yaml	fbbd78dc6ff9c47042ecee6d36377292e7cf4b91cd41ac2d7cbca03a4756d28b
FSTEC-CONFIGURATION-2026-9.1-SSH-PERMIT-EMPTY-PASSWORDS	SRC-0088	9.1	PermitEmptyPasswords	no	fstec-configuration-2026-9.1-ssh-permit-empty-passwords.yaml	df5adb7d41e5c7bf94d81ca6bf6d307a65a0cc78cbc93889d88b9af4ef9b361e
FSTEC-CONFIGURATION-2026-9.1-SSH-PERMIT-ROOT-LOGIN	SRC-0088	9.1	PermitRootLogin	no	fstec-configuration-2026-9.1-ssh-permit-root-login.yaml	cfb2e1c5728669647620660ac03e3895c2a39802a19b854e54613624e3bb2c7a
